"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","P1","P2","P3"
"cpD1",17.56,16.98,27.21,27.26,26.45,25.44,40,40,16.1,16.28,19.58,19.72,20.4,20.53,29.87,29.71,27.76,26.84,29.73,40,19.63,19.7,22.51,22.69,23.73,23.95,32.7,32.56,29.49,28.45,30.42,40,23.41,23.39,25.79,25.84,27.25,27.42,35.24,35.3,31.3,30.17,34.97,34.21,26.76,26.7,28.46,28.63,30.38,30.29,37.92,37.62,32.57,31.99,40,40,29.69,29.78,30.83,30.85,40,26.24,40
"cpD2",9.38,9.34,21.26,21.52,10.27,9.22,40,40,8.36,8.56,8.41,8.37,13.16,13.32,24.76,24.78,15.87,14.63,21.59,40,12.59,12.64,12.91,13.04,17.33,17.44,28.26,28.38,19.58,19.04,24.54,40,17.09,17.11,17.73,17.75,21.69,21.73,31.6,31.88,23.45,22.92,29.77,28.62,21.18,21.15,21.75,21.79,25.52,25.45,34.73,34.88,26.58,26.3,4.09,1.95,24.89,24.92,25.3,25.32,1,22.89,1
