Height,Total Mean Var,Total SD Var,Total Low Water Mean,Total Low Water SD,Total Low Nitrogen Mean,Total Low Nitrogen Mean SD,Total Pathogen Mean,Total Pathogen SD
77.84298708,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
67.19664389,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
55.89942742,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
80.32851699,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
63.61167733,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
72.34863273,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
70.08233216,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
54.94424654,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
40.85567825,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
78.82145992,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
51.62579349,0,0,1.402952005,0.004274795,1.790095251,-0.00257163,2.156303667,-0.011660426
72.15817824,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
70.56621012,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
60.94738336,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
59.63742163,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
25.94041517,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
67.65679998,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
68.4417541,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
49.55242601,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
59.46788019,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
108.6768906,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
62.10575895,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
66.49109385,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
63.10947035,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
48.76339497,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
66.97698501,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
70.25904881,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
65.83381333,0,0,3.362800439,0.01783636,1.338692507,0.001701602,-0.805553865,-0.008045724
74.29640308,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
62.06160306,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
55.72197542,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
73.5558298,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
70.27551335,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
85.39907278,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
76.99053059,0,0,5.737873682,0.002832813,1.173745772,0.006800941,-2.549097415,-0.000273522
