,Cycle,A1,A2,A3,A4,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B5,B6,B7,B8,C1,C2,C3,C4,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D5,D6,D7,D8,E1,E2,E3,E4,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F5,F6,F7,F8,G1,G2,G3,G4,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H5,H6,H7,H8,I1,I2,I3,I4,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J5,J6,J7,J8,K1,K2,K3,K4,K9,K10,K11,K12,L5,L6,L7,L8,P1,P2,P3,P4,P9,P10,P11,P12
,27,3145.36,3237.32,3155.72,3203.18,3552.20,3624.98,3672.20,3721.08,3745.34,3656.27,3654.65,3682.81,3599.49,3614.15,3628.76,3505.47,4408.07,4428.59,4419.20,4433.16,3153.43,3126.81,3142.64,3163.89,3463.84,3569.33,3536.00,3572.86,3440.52,3463.59,3434.43,3405.06,3698.02,3797.54,3625.54,3776.99,4258.77,4387.89,4298.31,4286.92,3074.35,3109.34,3101.39,3117.19,3325.22,3420.44,3307.28,3369.15,3205.84,3301.14,3201.94,3166.49,3727.89,3827.26,3814.11,3726.44,4095.05,4003.30,4104.86,4051.37,3058.06,3072.39,3057.58,3090.56,3159.90,3256.13,3163.44,3260.48,3019.73,3053.95,3005.72,3009.43,3706.44,3629.90,3767.64,3795.63,3600.23,3735.10,3791.78,3669.64,2994.15,3038.37,2966.02,3045.78,3043.78,3056.78,3058.90,3012.17,2814.66,2878.84,2876.32,2867.60,3776.84,3904.98,3810.62,3845.03,3497.74,3398.25,3450.26,3462.96,3031.43,3014.96,2981.70,2969.52,2893.13,2928.82,2905.55,2878.93,3244.75,3214.99,3213.39,3217.72,3045.16,3082.24,3113.19,3067.48,3001.02,2910.58,2988.99,2939.39
,28,3155.75,3249.09,3166.11,3215.17,3587.73,3669.53,3714.51,3770.64,3786.77,3697.60,3692.81,3720.67,3635.52,3645.84,3666.49,3541.80,4464.91,4485.54,4482.78,4491.90,3164.92,3140.26,3153.87,3177.77,3500.87,3617.01,3585.91,3623.63,3478.02,3497.75,3467.31,3437.38,3738.20,3845.00,3668.05,3822.62,4324.78,4458.96,4363.83,4355.24,3086.85,3124.49,3117.43,3131.35,3365.22,3466.29,3347.62,3412.63,3231.56,3327.52,3221.56,3185.28,3767.41,3876.24,3860.88,3769.07,4175.05,4075.71,4182.94,4132.17,3070.72,3083.48,3069.81,3103.43,3203.06,3309.52,3211.18,3310.85,3037.16,3066.66,3021.02,3024.85,3745.70,3665.01,3813.99,3840.65,3670.84,3814.86,3875.53,3743.25,3007.85,3049.17,2979.46,3059.58,3087.11,3101.58,3100.07,3049.67,2823.67,2887.86,2876.58,2868.99,3821.28,3947.93,3852.67,3889.82,3581.14,3476.54,3524.62,3542.89,3036.41,3023.45,2992.40,2974.14,2926.09,2967.26,2943.04,2910.66,3319.72,3283.03,3289.35,3286.26,3043.00,3081.78,3112.51,3069.92,2999.81,2911.85,2992.61,2943.83
,29,3167.10,3258.41,3172.08,3225.36,3622.60,3707.27,3748.16,3801.46,3817.51,3735.58,3727.83,3758.38,3670.39,3686.87,3695.61,3574.31,4519.16,4536.74,4534.24,4544.84,3176.47,3153.59,3166.56,3190.80,3543.90,3662.69,3621.63,3666.68,3506.81,3530.38,3498.00,3467.19,3777.29,3891.37,3702.78,3865.32,4391.69,4523.02,4433.45,4424.09,3098.58,3134.32,3126.42,3145.97,3412.96,3513.59,3389.62,3456.66,3255.17,3352.74,3245.04,3206.39,3808.19,3917.70,3904.05,3813.58,4247.32,4145.56,4260.23,4205.39,3079.96,3094.34,3082.38,3111.34,3245.45,3352.24,3255.41,3354.64,3056.66,3084.11,3033.82,3041.99,3784.47,3702.17,3848.13,3881.27,3733.54,3892.69,3957.27,3819.91,3023.55,3058.36,2986.52,3073.33,3129.42,3143.31,3147.09,3091.26,2828.37,2894.54,2885.03,2877.13,3864.85,3996.50,3897.01,3940.88,3665.08,3549.39,3611.62,3630.03,3046.02,3037.69,3001.16,2987.13,2956.72,3011.40,2985.61,2949.83,3399.48,3363.79,3373.74,3365.76,3043.33,3080.74,3113.86,3067.53,2999.61,2910.33,2989.46,2940.56
,30,3175.28,3272.70,3187.64,3239.17,3658.54,3741.82,3786.49,3847.29,3864.01,3769.34,3769.27,3800.94,3710.14,3719.26,3736.14,3605.52,4568.58,4585.28,4580.49,4597.81,3194.96,3169.02,3183.06,3204.13,3583.79,3706.76,3672.78,3713.09,3537.31,3566.31,3535.31,3498.79,3821.63,3936.78,3742.15,3909.27,4450.80,4602.19,4496.60,4493.23,3107.11,3153.10,3140.43,3163.33,3453.74,3559.78,3431.16,3500.00,3280.68,3380.11,3272.53,3231.17,3847.04,3964.26,3948.65,3855.71,4327.70,4220.26,4339.83,4280.32,3093.02,3105.43,3091.05,3127.80,3287.44,3406.25,3298.49,3404.15,3072.44,3100.67,3048.72,3055.69,3827.51,3740.37,3890.14,3924.29,3804.63,3967.58,4039.35,3896.01,3033.90,3076.90,3001.55,3088.20,3174.38,3194.96,3197.52,3130.61,2833.99,2903.20,2891.02,2885.52,3908.67,4044.52,3942.87,3982.69,3753.73,3627.92,3693.99,3710.69,3063.44,3049.81,3014.35,2998.36,2993.59,3055.22,3032.74,2993.39,3484.58,3450.60,3457.82,3445.65,3048.43,3087.53,3113.16,3068.44,3000.75,2914.70,2988.73,2943.29
,31,3190.18,3287.25,3196.83,3250.08,3690.63,3775.85,3822.92,3877.97,3898.40,3805.71,3804.02,3831.96,3745.37,3755.78,3771.71,3633.24,4620.92,4643.18,4636.30,4655.22,3205.06,3172.95,3195.40,3214.54,3623.05,3746.82,3717.91,3753.76,3572.69,3595.26,3562.44,3531.27,3855.68,3973.62,3783.74,3951.74,4510.63,4661.09,4564.43,4549.27,3125.10,3165.43,3156.80,3179.33,3496.38,3606.76,3477.28,3549.65,3306.35,3413.51,3293.76,3256.76,3888.01,4002.75,3990.23,3894.70,4398.16,4283.42,4407.41,4353.29,3104.73,3121.76,3105.51,3139.29,3330.20,3459.18,3345.46,3456.97,3091.07,3117.33,3066.52,3073.16,3866.60,3774.59,3933.12,3965.64,3867.97,4045.92,4118.13,3969.62,3045.42,3087.51,3011.37,3097.29,3219.52,3238.34,3244.17,3177.32,2839.24,2907.29,2898.61,2893.93,3943.95,4089.32,3985.84,4031.30,3836.33,3706.57,3771.78,3795.51,3071.51,3061.93,3025.56,3010.89,3033.71,3099.85,3080.08,3037.39,3576.52,3538.81,3540.63,3522.60,3040.71,3084.73,3114.79,3072.18,3001.84,2913.53,2987.32,2943.33
,32,3202.58,3298.29,3206.19,3259.37,3719.36,3810.97,3858.78,3921.85,3941.66,3839.53,3840.46,3867.33,3777.64,3792.47,3809.27,3672.22,4677.82,4693.38,4688.35,4703.47,3213.27,3187.44,3205.31,3225.90,3659.64,3792.41,3763.74,3806.33,3606.28,3627.38,3593.69,3560.14,3897.09,4014.30,3821.14,3995.14,4569.85,4730.10,4622.87,4616.22,3134.92,3177.44,3168.39,3188.80,3538.97,3652.36,3515.98,3593.03,3332.49,3440.78,3323.15,3278.64,3925.66,4045.55,4033.50,3927.97,4468.34,4350.51,4479.61,4420.00,3117.84,3135.63,3118.58,3156.77,3376.02,3500.59,3387.67,3501.68,3112.06,3135.06,3082.96,3087.69,3902.28,3808.88,3972.21,4000.00,3930.19,4114.24,4194.18,4040.24,3058.26,3100.67,3022.20,3113.27,3260.16,3290.08,3291.38,3220.07,2847.34,2914.74,2908.92,2896.68,3985.60,4130.13,4023.29,4063.83,3919.58,3781.04,3847.20,3870.92,3084.94,3081.60,3042.46,3023.52,3073.91,3149.63,3128.64,3077.45,3660.89,3624.59,3627.33,3608.42,3042.41,3084.13,3116.44,3066.91,3000.64,2910.24,2992.13,2942.75
,33,3206.84,3312.54,3219.71,3272.97,3755.36,3847.95,3890.51,3946.79,3974.10,3874.32,3867.69,3904.88,3811.55,3828.75,3839.48,3700.84,4717.56,4744.77,4739.07,4754.86,3230.16,3196.98,3216.27,3235.90,3702.38,3835.06,3798.56,3847.02,3634.31,3662.12,3623.92,3587.77,3934.26,4050.77,3851.45,4036.45,4625.88,4789.91,4680.60,4665.99,3144.67,3186.49,3181.21,3203.48,3582.84,3701.93,3556.94,3635.52,3353.48,3470.08,3345.78,3297.21,3960.90,4086.54,4074.61,3970.53,4534.29,4412.24,4544.16,4484.97,3129.42,3145.87,3131.26,3168.00,3415.38,3554.01,3435.27,3554.85,3131.42,3152.07,3098.35,3103.19,3932.79,3837.43,4002.79,4040.42,3990.70,4184.89,4263.67,4105.60,3066.08,3113.02,3033.88,3124.83,3307.70,3336.09,3334.04,3259.87,2851.80,2923.89,2916.24,2905.97,4021.29,4171.47,4058.73,4103.60,3995.06,3850.95,3924.67,3949.89,3098.80,3093.48,3054.87,3036.72,3115.35,3204.96,3174.99,3121.02,3744.11,3703.66,3709.46,3686.28,3044.29,3083.31,3116.48,3067.14,3001.12,2907.94,2988.66,2943.13
,34,3223.25,3323.36,3227.19,3283.75,3789.42,3878.60,3926.26,3987.37,4008.45,3909.62,3904.59,3940.64,3847.21,3861.96,3869.80,3735.08,4761.23,4796.72,4783.88,4796.92,3240.83,3210.26,3230.65,3254.04,3732.32,3874.65,3841.82,3886.72,3663.89,3689.13,3658.25,3617.62,3970.24,4093.37,3886.83,4074.89,4682.63,4851.53,4733.54,4724.39,3157.25,3203.07,3192.14,3215.63,3625.44,3746.13,3598.93,3679.82,3382.75,3500.22,3366.98,3321.80,3993.77,4123.38,4111.89,4006.11,4611.78,4474.61,4614.03,4556.37,3141.26,3159.22,3138.92,3180.40,3462.08,3600.06,3478.23,3603.28,3147.11,3171.57,3113.57,3118.22,3969.25,3872.23,4049.01,4079.24,4051.26,4247.27,4340.46,4175.22,3082.99,3121.06,3046.42,3142.54,3353.90,3383.25,3386.85,3307.66,2858.35,2932.93,2920.81,2909.73,4056.06,4214.58,4095.46,4147.49,4078.12,3926.62,4002.68,4027.85,3115.19,3108.10,3064.41,3051.44,3156.41,3254.96,3224.04,3168.44,3831.93,3789.76,3796.99,3772.45,3047.00,3086.65,3117.85,3069.15,2995.83,2912.82,2991.34,2939.60
,35,3235.21,3336.61,3241.07,3292.68,3819.42,3918.62,3962.11,4027.86,4051.43,3945.49,3943.91,3981.66,3884.16,3893.78,3909.25,3766.00,4806.73,4837.40,4828.45,4850.80,3252.32,3225.00,3243.45,3269.76,3777.19,3918.89,3886.23,3933.70,3697.95,3727.70,3693.18,3648.36,4005.08,4134.12,3924.85,4114.75,4736.63,4910.20,4789.50,4781.67,3171.83,3217.33,3203.94,3228.63,3668.05,3795.30,3638.01,3723.77,3410.22,3530.77,3401.01,3342.57,4034.96,4166.48,4153.15,4044.92,4678.37,4534.09,4679.30,4622.49,3154.41,3172.72,3151.06,3196.89,3510.71,3651.30,3522.47,3656.47,3167.05,3190.67,3131.18,3135.87,4005.97,3903.21,4084.61,4118.24,4101.13,4313.68,4412.57,4242.22,3094.30,3137.91,3059.43,3154.14,3397.28,3427.98,3431.15,3346.34,2868.97,2941.24,2928.61,2921.73,4095.92,4247.13,4134.80,4186.36,4152.39,3986.73,4077.52,4102.63,3131.80,3122.96,3081.34,3064.61,3194.95,3308.28,3276.51,3213.66,3915.43,3881.11,3883.76,3854.26,3042.20,3085.12,3116.56,3068.88,3005.94,2913.10,2990.47,2942.20
,36,3249.59,3351.27,3251.66,3308.03,3857.67,3948.93,3996.19,4062.42,4084.77,3978.94,3979.56,4014.52,3905.74,3928.13,3935.63,3797.09,4850.76,4885.44,4871.30,4888.21,3269.08,3238.04,3254.70,3282.85,3812.14,3963.84,3927.01,3972.79,3728.24,3757.45,3719.15,3680.11,4040.14,4170.87,3955.77,4157.45,4783.54,4966.39,4841.92,4831.27,3181.31,3228.83,3220.11,3245.33,3710.07,3832.18,3675.40,3764.33,3436.35,3562.55,3422.51,3361.02,4070.08,4201.17,4186.94,4069.72,4735.94,4594.93,4740.31,4680.81,3170.75,3184.93,3170.00,3209.73,3550.08,3698.44,3559.79,3698.56,3190.96,3208.24,3145.92,3154.71,4037.26,3929.84,4113.14,4151.45,4154.49,4376.02,4481.11,4301.22,3107.04,3151.37,3071.37,3172.51,3440.95,3473.94,3476.32,3388.50,2874.34,2948.82,2933.66,2924.29,4127.59,4289.85,4164.55,4218.06,4227.29,4058.54,4148.73,4178.26,3143.67,3133.35,3089.41,3073.24,3238.18,3361.33,3327.10,3259.76,3998.36,3961.91,3964.09,3928.92,3044.99,3084.03,3116.73,3074.66,3004.33,2913.13,2991.14,2948.39
