"","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","B1","B2","B3","B4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","D1","D2","D3","D4","E5","E6","E7","E8","E9","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E20","F1","F2","F3","F4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","H1","H2","H3","H4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","J1","J2","J3","J4","K5","K6","K7","K8","K9","K10","K11","K12","L1","L2","L3","L4","P5","P6","P7","P8","P9","P10","P11","P12"
"FAM cpD1",18.94,21.98,22.16,22.35,26.59,26.12,26.43,26.37,26.84,26.36,26.35,26.47,26.53,26.46,27,26.66,19.85,19.47,19.91,19.44,14.36,19.04,19.26,12.59,27.52,27.48,27.63,27.4,24.25,24.37,24.06,24.32,27.67,28.12,28.43,28.32,23.03,23.01,23.32,23.06,16.81,19.1,14.58,15.88,29.43,29.34,29.36,29.59,23.21,23.61,23.36,23.35,30.03,31.82,31.16,30.04,25.73,25.86,25.99,25.8,15.07,19.79,18.47,18.45,30.88,30.64,31.02,30.93,23.05,23.42,23.01,23.09,32.37,36.21,31.87,32.12,28.37,28.27,28.47,28.28,14.12,16.37,16.64,21.57,32.2,31.95,32.34,32.38,22.4,22.88,22.69,22.66,22.23,26.97,24.63,29.48,30.36,30.5,30.67,30.45,16.03,16.65,15.01,1,33.93,33.98,33.92,33.66,32.55,32.31,32.39,32.55,1,40,1,1,1,40,1,1
"FAM cpD2",14.81,20.53,19.05,2.61,9.32,9.25,9.4,9.44,9.36,9.59,9.55,9.84,9.31,9.15,9.38,9.04,7.63,7.57,7.78,7.54,10.07,12.57,10.76,10.74,14.82,14.92,14.9,14.89,9.61,10.14,9.91,9.85,10.02,10.44,10.6,10.52,12.74,12.86,13.2,13.09,12.84,11.94,10.66,6.45,19.11,19.17,19.08,19.29,10.51,10.34,10.41,10.39,10.89,11.2,11.02,13.27,17.21,17.48,17.71,17.45,9.56,14.56,12.7,15.02,22.48,22.65,22.62,22.8,10.91,11.09,10.72,10.8,9.93,10.18,10.95,12.78,21.24,21.21,21.56,21.33,9.66,8.98,11.31,17.78,25.65,25.69,25.72,25.93,10.87,11.1,10.97,10.93,6.94,5.72,11.21,8.53,24.63,24.7,25.04,24.82,12.06,11.19,11.28,1,28.52,28.77,28.58,28.64,27.89,27.86,28.07,28.09,10.32,9.26,9.76,9.55,10.99,8.84,10.29,10.01
"HEX cpD1",18.03,17.91,17.85,17.56,17.76,17.54,17.65,17.64,17.74,17.81,17.82,17.69,17.69,17.72,17.74,17.75,17.15,17.02,17.13,17.13,21.66,21.65,21.57,21.43,21.4,21.3,21.31,21.33,18.33,18.36,18.3,18.22,17.88,17.85,17.94,17.86,21.71,21.17,21.24,21.26,24.89,25,24.95,24.8,24.68,24.63,24.76,24.69,18.73,18.97,18.79,18.74,18.07,17.93,17.92,17.98,24.71,24.8,25.21,25.2,27.98,28.1,27.97,27.92,27.66,27.66,27.77,27.72,19.33,19.1,18.99,18.94,18.07,18.06,18.04,17.96,28,28.05,27.94,28.02,30.97,30.86,30.82,30.75,30.55,30.42,30.54,30.58,19.22,19.13,19.16,19.05,18.08,18.05,18.08,17.98,30.84,31,31.03,30.98,33.49,33.6,33.31,33.44,33.1,33.18,33.19,33.06,33.66,33.63,33.63,33.53,1,1,1,18.61,21.8,18.65,13.33,22.02
"HEX cpD2",8.45,8.15,8.07,7.96,8.47,8.07,8.41,8.39,8.56,8.5,8.62,8.45,8.45,8.25,8.57,8.52,8.25,8.21,8.23,8.23,13.53,13.36,13.35,13.25,13.27,13.09,13.23,13.18,9.09,9.18,9.24,9.04,9.08,8.89,8.97,8.99,13.85,13.4,13.42,13.37,18.01,17.9,17.88,17.73,17.58,17.46,17.63,17.54,9.73,9.73,9.71,9.49,9.56,9.32,9.37,9.38,17.91,17.9,18.28,18.32,21.96,21.99,21.95,21.92,21.57,21.53,21.65,21.65,10.08,9.95,9.8,9.74,9.58,9.55,9.69,9.64,22.04,22,21.91,21.97,25.79,25.64,25.65,25.61,25.36,25.25,25.37,25.36,9.84,9.99,10.11,9.96,9.82,9.81,9.84,9.83,25.73,25.86,25.86,25.83,29.2,29.38,29.09,29.06,28.89,28.89,28.95,28.85,29.32,29.34,29.3,29.3,40,40,40,8.26,12.89,12.69,7.25,17.78
"cpD1 ratio",-0.91,-4.07,-4.31,-4.79,-8.83,-8.58,-8.78,-8.73,-9.1,-8.55,-8.53,-8.78,-8.84,-8.74,-9.26,-8.91,-2.7,-2.45,-2.78,-2.31,7.3,2.61,2.31,8.84,-6.12,-6.18,-6.32,-6.07,-5.92,-6.01,-5.76,-6.1,-9.79,-10.27,-10.49,-10.46,-1.32,-1.84,-2.08,-1.8,8.08,5.9,10.37,8.92,-4.75,-4.71,-4.6,-4.9,-4.48,-4.64,-4.57,-4.61,-11.96,-13.89,-13.24,-12.06,-1.02,-1.06,-0.779999999999998,-0.600000000000001,12.91,8.31,9.5,9.47,-3.22,-2.98,-3.25,-3.21,-3.72,-4.32,-4.02,-4.15,-14.3,-18.15,-13.83,-14.16,-0.370000000000001,-0.219999999999999,-0.529999999999998,-0.260000000000002,16.85,14.49,14.18,9.18,-1.65,-1.53,-1.8,-1.8,-3.18,-3.75,-3.53,-3.61,-4.15,-8.92,-6.55,-11.5,0.48,0.5,0.359999999999999,0.530000000000001,17.46,16.95,18.3,32.44,-0.829999999999998,-0.799999999999997,-0.730000000000004,-0.599999999999994,1.11,1.32,1.24,0.980000000000004,0,-39,0,17.61,20.8,-21.35,12.33,21.02
"cpD2 ratio",-6.36,-12.38,-10.98,5.35,-0.85,-1.18,-0.99,-1.05,-0.799999999999999,-1.09,-0.930000000000001,-1.39,-0.860000000000001,-0.9,-0.81,-0.52,0.62,0.640000000000001,0.45,0.69,3.46,0.789999999999999,2.59,2.51,-1.55,-1.83,-1.67,-1.71,-0.52,-0.960000000000001,-0.67,-0.81,-0.94,-1.55,-1.63,-1.53,1.11,0.540000000000001,0.220000000000001,0.279999999999999,5.17,5.96,7.22,11.28,-1.53,-1.71,-1.45,-1.75,-0.779999999999999,-0.609999999999999,-0.699999999999999,-0.9,-1.33,-1.88,-1.65,-3.89,0.699999999999999,0.419999999999998,0.57,0.870000000000001,12.4,7.43,9.25,6.9,-0.91,-1.12,-0.970000000000002,-1.15,-0.83,-1.14,-0.92,-1.06,-0.35,-0.629999999999999,-1.26,-3.14,0.800000000000001,0.789999999999999,0.350000000000001,0.640000000000001,16.13,16.66,14.34,7.83,-0.289999999999999,-0.440000000000001,-0.349999999999998,-0.57,-1.03,-1.11,-0.860000000000001,-0.969999999999999,2.88,4.09,-1.37,1.3,1.1,1.16,0.82,1.01,17.14,18.19,17.81,28.06,0.370000000000001,0.120000000000001,0.370000000000001,0.210000000000001,1.43,1.48,1.23,1.21,29.68,30.74,30.24,-1.29,1.9,3.85,-3.04,7.77
