,Cycle,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B1,B2,B3,B4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D1,D2,D3,D4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F1,F2,F3,F4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H1,H2,H3,H4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J1,J2,J3,J4,K5,K6,K7,K8,K9,K10,K11,K12,L1,L2,L3,L4,P5,P6,P7,P8,P9,P10,P11,P12
,11,2965.95,2989.76,2953.05,3007.81,2963.69,2962.80,2984.80,3003.81,3007.67,2974.86,2990.08,3004.18,2972.92,2964.37,2980.95,2926.13,3143.21,3200.53,3196.99,3153.64,3003.98,2977.79,2987.87,2969.82,2893.69,2905.63,2919.14,2918.02,2969.63,2992.39,2979.56,2969.89,2930.63,2947.22,2899.50,2949.98,3080.54,3045.62,3029.54,3034.55,2972.84,2992.39,3002.54,2987.53,2858.00,2913.51,2844.63,2845.66,3024.10,3056.40,3001.70,2964.56,2860.27,2886.14,2903.94,2876.72,2996.15,2981.70,2983.65,2986.49,3000.61,2988.84,2965.07,2910.18,2854.33,2862.11,2836.18,2859.64,2998.73,2996.21,2957.94,2974.53,2832.50,2801.51,2860.28,2850.18,2996.27,3030.90,2931.22,2944.85,2975.15,2974.02,2929.60,2948.83,2834.98,2831.32,2845.86,2801.45,2830.36,2970.08,2971.82,2969.75,2837.85,2857.43,2842.50,2822.06,3007.35,2996.48,2946.02,2957.83,2967.38,3005.38,2971.19,2941.41,2814.88,2871.02,2851.17,2823.12,2976.54,3004.68,2993.86,2974.30,2936.20,2944.25,2939.29,2952.23,2880.58,2819.12,3045.40,2850.23
,12,2967.38,2990.26,2955.99,3007.58,2984.19,2979.04,3000.51,3022.67,3023.17,2990.74,3008.35,3030.89,2989.46,2984.15,3000.79,2944.97,3195.00,3251.52,3248.70,3207.04,3004.97,2976.02,2992.14,2976.21,2909.49,2917.09,2932.76,2932.09,2997.87,3021.26,3012.42,3001.94,2947.03,2960.84,2917.95,2965.90,3113.92,3078.86,3056.85,3072.78,2976.24,2994.31,3003.49,2990.37,2860.89,2918.75,2848.38,2851.82,3068.96,3099.92,3043.13,3000.07,2870.99,2894.03,2912.30,2886.91,2999.28,2983.26,2983.90,2989.88,2997.21,2992.37,2967.53,2913.47,2854.27,2864.99,2837.58,2858.67,3043.95,3037.17,3000.44,3019.77,2837.40,2804.73,2868.64,2854.69,2993.44,3030.09,2930.22,2942.09,2974.18,2976.70,2927.53,2947.14,2838.94,2831.36,2846.07,2803.07,2829.75,3013.82,3012.63,3011.13,2842.04,2858.46,2846.65,2829.15,3001.91,2997.30,2947.12,2957.86,2968.07,3004.03,2968.19,2944.80,2821.28,2869.44,2849.88,2822.89,2973.79,3007.53,2990.20,2978.22,2935.73,2943.98,2934.73,2950.43,2875.95,2819.60,3045.12,2845.98
,13,2963.34,2991.09,2952.30,3006.98,3002.41,3005.51,3028.43,3042.27,3051.57,3013.24,3028.64,3047.63,3009.83,3005.33,3017.68,2966.74,3243.12,3305.17,3301.19,3251.20,3003.41,2976.14,2989.70,2971.98,2927.43,2935.60,2949.04,2952.00,3032.62,3051.43,3044.03,3033.07,2961.92,2975.91,2926.93,2977.54,3161.59,3120.03,3100.76,3118.42,2975.71,2993.87,3008.72,2989.49,2867.27,2922.01,2851.29,2856.50,3109.57,3148.83,3079.12,3040.98,2876.37,2898.56,2919.54,2889.28,3008.55,2987.29,2989.31,2993.76,3002.40,2992.30,2961.88,2912.20,2859.28,2864.65,2836.81,2857.77,3091.57,3080.08,3045.24,3057.62,2841.65,2810.12,2872.18,2858.82,2995.37,3026.14,2931.85,2944.61,2976.24,2974.82,2931.20,2948.89,2831.36,2829.47,2846.16,2800.72,2832.96,3055.80,3061.57,3054.96,2844.58,2860.14,2846.46,2826.59,3005.78,3000.11,2948.08,2957.50,2973.47,3006.25,2968.12,2943.12,2818.35,2873.09,2856.01,2823.22,2976.41,3007.41,2990.19,2979.47,2931.59,2941.37,2938.34,2951.51,2881.19,2820.69,3046.37,2847.26
,14,2967.28,2986.29,2955.63,3004.50,3023.46,3025.12,3046.21,3067.67,3074.68,3032.62,3049.87,3074.95,3034.58,3025.41,3044.16,2984.96,3293.96,3361.85,3353.92,3306.58,3003.01,2975.65,2991.12,2969.93,2949.79,2952.64,2970.49,2976.16,3060.84,3083.06,3075.05,3063.54,2980.20,2994.97,2947.96,2990.90,3216.53,3174.63,3149.67,3169.64,2974.89,2999.64,3011.40,2989.32,2873.59,2928.91,2858.93,2862.77,3160.16,3199.42,3129.43,3076.74,2884.63,2913.09,2927.92,2899.86,3027.21,3005.14,3007.39,3013.78,3004.69,2991.76,2966.77,2909.22,2857.57,2869.42,2840.51,2861.92,3141.13,3128.94,3088.07,3103.57,2848.38,2819.30,2877.31,2864.22,2999.60,3031.22,2932.97,2947.01,2975.00,2975.88,2930.03,2947.14,2843.21,2836.38,2847.16,2801.22,2833.65,3107.47,3109.03,3104.29,2839.30,2862.18,2847.50,2829.80,3009.65,2996.97,2944.32,2954.87,2971.76,3006.29,2967.75,2942.80,2821.33,2872.84,2857.02,2821.24,2974.80,3010.23,2993.89,2978.80,2934.11,2942.97,2934.68,2948.96,2879.30,2818.42,3044.02,2848.19
,15,2964.54,2991.07,2956.97,3008.14,3050.44,3052.31,3067.71,3092.53,3095.51,3055.19,3074.64,3100.92,3058.74,3047.19,3064.09,3003.18,3350.27,3418.24,3412.91,3362.43,3003.82,2980.24,2987.40,2974.89,2971.77,2978.68,2992.86,2994.94,3090.85,3114.63,3113.21,3095.65,2996.30,3015.49,2966.28,3006.90,3271.18,3227.68,3206.94,3225.08,2978.72,2997.75,3007.62,2988.11,2888.81,2938.72,2870.79,2870.38,3214.04,3251.19,3180.43,3117.85,2894.39,2915.59,2937.77,2905.57,3050.21,3022.97,3026.27,3040.50,3006.37,2995.12,2963.74,2910.86,2858.63,2864.85,2844.84,2860.07,3195.73,3178.56,3138.03,3151.77,2855.28,2815.13,2880.46,2866.20,3001.34,3031.36,2937.05,2949.64,2977.71,2973.89,2933.73,2949.07,2837.86,2835.32,2846.07,2803.16,2835.49,3164.08,3167.15,3155.53,2843.77,2862.85,2850.56,2832.57,3007.20,3001.80,2947.58,2958.90,2973.37,3006.62,2969.99,2946.53,2819.08,2874.86,2857.97,2823.23,2973.07,3014.17,2990.19,2980.47,2933.75,2943.58,2932.97,2950.24,2874.30,2821.21,3044.85,2844.70
,16,2966.87,2992.17,2953.84,3008.65,3074.51,3072.88,3092.12,3113.52,3125.45,3081.28,3096.47,3124.85,3080.12,3073.07,3087.34,3027.02,3403.21,3487.18,3470.71,3418.22,3007.47,2974.66,2990.95,2974.25,2993.11,3001.62,3018.51,3016.34,3123.64,3150.01,3142.26,3123.78,3014.83,3033.49,2980.86,3028.74,3331.46,3280.77,3260.34,3283.93,2975.41,2997.30,3010.63,2991.79,2901.11,2955.42,2886.66,2885.37,3257.41,3309.57,3230.13,3162.32,2903.29,2929.48,2947.06,2914.49,3087.66,3058.72,3067.62,3079.54,3006.85,2996.31,2967.40,2910.27,2868.39,2869.70,2850.06,2861.98,3251.72,3233.24,3188.85,3198.17,2855.36,2823.42,2886.10,2867.77,3005.69,3042.17,2940.00,2956.08,2977.68,2976.27,2929.46,2946.34,2841.20,2836.37,2848.42,2799.04,2840.58,3216.70,3220.15,3207.97,2846.53,2863.98,2852.78,2837.32,3008.41,3000.43,2950.37,2954.93,2974.21,3009.54,2969.76,2945.25,2823.42,2878.00,2858.18,2822.46,2976.87,3010.05,2991.11,2981.79,2933.18,2940.13,2932.18,2948.17,2874.04,2822.18,3048.78,2847.96
,17,2968.12,2989.57,2960.08,3007.36,3099.68,3098.63,3120.41,3140.65,3149.44,3106.90,3126.51,3150.98,3106.16,3097.52,3109.91,3050.17,3461.79,3544.75,3540.97,3475.96,3007.01,2976.07,2991.98,2970.82,3017.75,3034.79,3044.15,3049.43,3158.98,3187.62,3177.27,3161.92,3036.58,3049.49,2994.47,3046.15,3396.06,3337.83,3318.29,3349.03,2976.43,2998.55,3008.83,2991.12,2923.58,2977.02,2901.60,2904.06,3311.99,3369.35,3276.77,3205.79,2911.45,2930.38,2955.09,2923.50,3137.54,3101.88,3116.46,3131.39,3007.44,2993.46,2967.11,2913.84,2867.10,2876.22,2850.18,2866.43,3307.35,3289.11,3240.60,3253.58,2860.77,2826.00,2889.40,2875.73,3016.18,3054.18,2948.38,2966.82,2978.38,2975.96,2932.18,2951.64,2842.39,2837.92,2848.07,2801.32,2842.63,3276.92,3279.99,3264.42,2846.91,2864.71,2857.24,2835.67,3008.22,2999.68,2945.16,2955.01,2970.76,3005.82,2970.99,2944.00,2821.17,2876.40,2862.42,2824.65,2974.93,3009.32,2990.28,2976.30,2934.56,2946.36,2938.18,2948.70,2878.99,2818.88,3046.58,2846.79
,18,2965.65,2992.86,2954.90,3007.37,3122.35,3125.52,3141.95,3168.70,3177.81,3128.29,3148.72,3177.91,3133.53,3127.76,3138.21,3071.52,3523.72,3608.78,3598.01,3535.85,3007.18,2976.49,2992.74,2966.27,3042.41,3058.45,3071.47,3074.18,3199.73,3230.89,3216.62,3196.08,3055.21,3072.58,3013.22,3065.85,3463.05,3404.74,3382.49,3412.92,2978.05,3000.45,3006.88,2996.33,2947.64,3003.49,2922.82,2924.71,3370.52,3431.72,3331.15,3258.24,2923.00,2946.87,2968.91,2932.43,3201.21,3155.01,3173.10,3187.34,3004.73,2994.02,2966.77,2911.97,2878.00,2888.41,2861.40,2878.58,3367.24,3350.29,3291.64,3312.19,2866.24,2829.32,2895.62,2884.15,3039.01,3076.19,2966.29,2981.29,2975.21,2978.07,2929.04,2945.99,2840.62,2836.47,2853.21,2801.43,2853.67,3333.82,3337.97,3318.94,2847.43,2869.73,2857.00,2838.46,3013.89,3002.53,2953.25,2958.22,2971.62,3007.28,2973.42,2945.16,2820.11,2880.80,2858.06,2822.70,2975.02,3009.89,2986.77,2976.03,2930.30,2947.22,2932.20,2947.86,2872.54,2815.29,3046.45,2847.96
,19,2966.77,2988.33,2955.09,3009.11,3156.59,3150.82,3166.09,3193.92,3202.82,3157.32,3176.96,3204.87,3153.54,3150.62,3159.96,3098.09,3578.04,3671.20,3662.96,3590.48,3006.59,2976.40,2991.90,2968.77,3065.95,3078.45,3095.08,3096.26,3231.59,3263.44,3258.05,3232.17,3073.41,3089.33,3035.06,3086.90,3529.33,3467.13,3443.55,3479.90,2981.30,3003.35,3008.98,2990.85,2966.97,3023.07,2945.55,2947.07,3426.17,3490.53,3383.12,3302.84,2931.98,2956.48,2977.81,2943.17,3254.83,3209.37,3229.64,3246.67,3004.63,2989.76,2967.35,2911.66,2892.24,2899.67,2870.81,2887.71,3425.35,3406.67,3349.71,3367.47,2875.18,2836.10,2904.22,2887.08,3068.00,3109.29,2997.67,3013.87,2974.99,2979.32,2935.45,2949.56,2844.85,2837.24,2852.01,2803.30,2867.34,3396.95,3395.24,3376.76,2849.78,2871.66,2856.43,2835.06,3017.43,3008.87,2955.81,2960.57,2971.44,3007.12,2969.99,2945.76,2820.45,2873.00,2860.01,2824.42,2979.77,3011.93,2989.77,2981.91,2932.74,2944.57,2932.66,2947.33,2881.62,2813.01,3043.84,2846.09
,20,2964.96,2988.51,2955.16,3008.51,3180.56,3179.50,3192.64,3216.64,3230.08,3182.19,3205.33,3237.77,3179.69,3176.00,3190.11,3122.97,3642.00,3734.12,3722.15,3652.89,3002.64,2975.65,2995.67,2973.63,3094.69,3109.86,3121.43,3126.75,3267.64,3302.08,3290.64,3270.20,3091.90,3109.97,3052.47,3106.51,3596.66,3532.16,3513.04,3548.82,2976.79,2997.17,3005.78,2993.10,2995.01,3052.51,2963.96,2971.37,3481.73,3553.55,3436.24,3350.44,2941.66,2968.48,2986.41,2952.60,3321.26,3266.82,3288.85,3313.07,3004.45,2987.97,2971.95,2913.14,2910.33,2918.15,2889.27,2909.72,3486.03,3462.22,3403.17,3420.12,2878.71,2841.09,2905.92,2897.19,3115.77,3151.96,3037.49,3050.78,2979.59,2978.04,2927.80,2948.79,2847.31,2843.03,2858.35,2810.30,2890.77,3461.08,3454.92,3438.01,2855.69,2874.36,2858.21,2841.27,3023.26,3015.74,2962.97,2968.22,2977.21,3008.08,2968.11,2942.46,2820.59,2876.71,2863.06,2824.79,2979.72,3011.22,2991.10,2982.26,2933.73,2943.91,2931.85,2948.55,2874.20,2818.70,3044.41,2843.99
,21,2968.48,2989.06,2954.18,3007.50,3208.13,3205.29,3222.60,3251.53,3258.04,3207.78,3234.82,3270.98,3209.41,3203.90,3215.73,3146.11,3697.22,3791.91,3785.83,3709.93,3008.48,2979.37,2992.03,2972.02,3120.52,3135.97,3151.98,3155.11,3303.62,3343.65,3335.51,3308.26,3113.69,3137.00,3070.54,3125.54,3666.08,3599.38,3576.99,3622.32,2977.90,2998.96,3011.53,2992.63,3021.38,3076.93,2993.63,2991.13,3536.11,3615.47,3494.44,3395.51,2952.64,2975.52,2998.33,2963.72,3389.29,3330.64,3352.87,3379.77,3008.13,2993.74,2966.76,2909.79,2929.12,2941.53,2911.42,2933.22,3546.41,3527.20,3460.38,3475.75,2885.38,2845.41,2915.15,2903.36,3172.81,3217.69,3088.52,3103.37,2980.65,2977.55,2935.78,2950.58,2856.55,2847.05,2859.77,2811.56,2924.68,3518.78,3517.03,3498.89,2856.26,2873.32,2859.52,2842.55,3040.60,3033.10,2977.87,2984.22,2972.98,3004.62,2976.24,2944.65,2825.12,2877.29,2860.55,2826.53,2976.55,3014.05,2995.16,2980.57,2935.83,2944.57,2933.53,2950.92,2875.58,2816.87,3045.16,2846.05
,22,2960.49,2989.50,2955.94,3008.75,3238.05,3235.26,3250.74,3279.04,3289.53,3235.29,3263.93,3294.91,3242.13,3231.32,3248.62,3175.13,3754.31,3862.91,3850.12,3770.10,3001.06,2976.44,2995.31,2975.07,3150.67,3163.37,3187.34,3191.14,3346.60,3382.28,3374.00,3348.94,3133.78,3152.78,3087.91,3147.10,3736.24,3658.26,3642.36,3690.42,2975.80,3000.40,3011.22,2994.09,3046.54,3101.20,3018.15,3021.65,3594.82,3681.11,3543.93,3447.34,2963.10,2985.12,3009.59,2975.47,3461.74,3396.19,3418.58,3455.56,3007.06,2994.76,2968.76,2914.04,2949.69,2963.54,2936.71,2954.65,3611.22,3586.37,3515.23,3532.00,2892.29,2854.48,2926.47,2904.86,3236.20,3278.68,3143.55,3164.03,2977.47,2982.00,2933.53,2950.07,2868.96,2856.88,2871.14,2822.90,2965.46,3582.82,3579.41,3555.46,2861.46,2876.11,2865.61,2844.60,3064.64,3057.83,3003.79,3010.41,2974.61,3004.18,2972.89,2941.77,2825.32,2882.34,2864.31,2827.54,2982.63,3017.89,2998.85,2984.27,2932.53,2946.35,2933.80,2948.17,2875.78,2821.98,3046.16,2852.92
,23,2966.67,2991.67,2957.98,3008.39,3265.80,3261.08,3280.39,3309.72,3322.83,3269.60,3291.81,3329.64,3263.70,3260.14,3273.47,3198.91,3809.72,3918.23,3910.31,3823.84,3007.14,2979.28,2992.08,2973.97,3183.83,3197.44,3209.55,3216.64,3383.06,3425.68,3412.61,3384.27,3159.47,3180.62,3107.78,3174.71,3807.87,3730.33,3708.55,3757.49,2977.12,3000.72,3017.32,2994.40,3074.87,3130.05,3043.19,3048.30,3653.96,3741.24,3600.37,3493.51,2972.45,3001.22,3022.07,2981.96,3532.27,3458.75,3485.31,3524.12,3008.46,2997.13,2965.79,2910.17,2971.61,2994.08,2959.35,2980.82,3672.48,3645.46,3571.76,3587.67,2899.20,2858.61,2926.74,2915.29,3301.92,3347.54,3205.31,3220.00,2980.40,2976.68,2935.09,2950.16,2881.75,2878.57,2892.60,2831.37,3010.16,3643.74,3637.10,3614.92,2864.50,2878.64,2867.95,2845.58,3101.24,3099.60,3037.73,3042.71,2976.06,3003.79,2973.65,2941.79,2827.17,2877.73,2868.06,2831.39,2988.64,3022.15,3004.60,2992.46,2932.98,2947.66,2932.05,2950.38,2878.49,2814.98,3050.91,2848.13
,24,2963.47,2991.88,2959.36,3008.12,3295.31,3296.20,3304.96,3341.01,3351.26,3296.02,3325.15,3360.49,3294.07,3290.16,3300.83,3228.86,3868.81,3980.52,3969.74,3883.74,3007.13,2976.18,2996.03,2971.52,3207.56,3225.09,3244.50,3254.21,3424.57,3461.34,3452.31,3424.71,3175.15,3203.14,3129.78,3192.52,3874.25,3789.74,3768.43,3825.78,2979.18,3003.00,3012.86,2996.13,3102.41,3160.37,3071.69,3072.78,3714.53,3806.94,3655.92,3542.72,2986.91,3014.06,3032.20,2994.28,3598.61,3521.82,3546.98,3591.79,3005.37,2996.64,2967.32,2912.53,2997.27,3016.09,2983.55,3006.64,3736.71,3708.74,3627.62,3647.48,2906.13,2863.83,2938.73,2919.54,3375.11,3420.81,3262.34,3281.59,2980.40,2979.18,2931.07,2949.03,2900.89,2896.12,2911.38,2857.48,3057.32,3711.18,3697.39,3673.81,2864.70,2878.54,2869.52,2852.11,3152.24,3150.31,3095.05,3096.86,2973.36,3005.57,2972.31,2945.04,2830.48,2886.43,2873.84,2835.55,2995.43,3038.86,3014.77,3002.22,2933.38,2942.73,2930.06,2949.73,2877.42,2819.96,3046.60,2850.69
,25,2966.86,2993.13,2961.34,3009.41,3323.22,3317.93,3335.88,3366.67,3381.85,3321.73,3354.09,3388.28,3321.88,3320.74,3327.19,3252.52,3918.20,4041.67,4030.69,3930.22,3003.49,2976.69,2990.81,2971.25,3238.08,3256.15,3276.38,3284.58,3461.40,3508.07,3492.30,3462.91,3200.77,3220.58,3150.49,3217.71,3940.73,3854.09,3835.46,3894.13,2979.82,3000.00,3009.27,2991.65,3128.63,3187.15,3095.84,3099.05,3769.48,3865.62,3711.68,3591.00,2994.53,3023.25,3042.44,3004.12,3669.47,3586.80,3615.07,3661.30,3010.61,2996.74,2969.68,2917.49,3018.27,3043.70,3008.10,3035.09,3797.43,3764.33,3683.66,3695.40,2909.65,2869.27,2944.28,2928.57,3442.28,3492.76,3325.84,3344.91,2974.77,2981.03,2931.20,2950.23,2921.29,2919.34,2934.70,2872.44,3109.97,3767.62,3756.32,3731.76,2868.17,2877.99,2871.85,2851.22,3223.59,3224.22,3151.79,3159.47,2972.41,3006.69,2970.55,2941.35,2839.48,2894.10,2880.98,2842.43,3014.14,3051.54,3034.06,3016.76,2935.32,2946.17,2937.27,2953.11,2879.84,2818.68,3050.23,2850.69
,26,2969.95,2991.79,2951.82,3007.10,3355.47,3352.41,3361.72,3394.90,3414.98,3350.29,3383.87,3422.79,3350.26,3349.16,3357.67,3276.24,3975.64,4094.84,4086.23,3992.09,3011.03,2982.64,2994.63,2976.46,3272.15,3294.49,3309.97,3318.63,3503.66,3547.52,3536.09,3499.70,3221.00,3248.52,3169.07,3240.54,4009.31,3920.03,3899.75,3961.97,2982.11,2997.81,3012.63,2993.38,3157.41,3221.45,3120.04,3129.11,3824.81,3927.92,3766.69,3635.10,3003.12,3033.31,3055.56,3019.19,3738.77,3648.68,3683.15,3732.12,3008.90,2995.46,2970.82,2915.43,3045.50,3070.37,3040.08,3061.85,3851.92,3819.72,3733.55,3750.97,2919.83,2873.99,2952.63,2933.51,3514.12,3561.28,3388.46,3406.54,2978.97,2977.23,2931.95,2950.62,2948.96,2945.93,2958.59,2896.80,3159.93,3829.72,3816.31,3785.00,2869.26,2883.98,2871.43,2853.72,3290.73,3291.42,3216.03,3222.75,2975.53,3004.59,2972.19,2941.46,2848.73,2904.97,2894.84,2854.34,3042.37,3086.47,3062.24,3053.97,2933.55,2948.22,2938.10,2949.97,2878.25,2818.41,3046.63,2848.78
,27,2967.17,2991.88,2956.86,3005.77,3383.74,3379.32,3389.82,3429.77,3447.62,3377.70,3412.79,3446.29,3379.48,3374.90,3386.56,3300.83,4031.45,4151.82,4138.92,4034.89,3008.91,2978.78,2994.58,2974.65,3299.41,3323.25,3344.62,3349.08,3531.65,3583.66,3570.46,3536.02,3240.49,3269.19,3195.58,3266.64,4076.43,3980.46,3954.54,4022.05,2977.12,3002.10,3013.24,2991.70,3192.62,3249.94,3145.14,3156.01,3874.21,3991.67,3818.42,3685.74,3019.96,3046.31,3065.37,3028.35,3814.12,3713.66,3741.66,3805.75,3009.90,2993.55,2969.96,2910.23,3069.74,3098.40,3064.48,3086.51,3914.38,3875.70,3786.45,3805.46,2925.93,2882.08,2955.69,2941.03,3591.25,3640.98,3454.26,3472.46,2978.25,2977.91,2935.27,2953.02,2973.34,2962.36,2985.88,2913.65,3214.34,3888.06,3876.07,3842.57,2874.15,2883.96,2870.91,2853.65,3358.99,3367.69,3282.15,3288.79,2977.18,3009.23,2970.20,2944.98,2870.37,2923.10,2915.78,2872.87,3086.68,3131.25,3109.99,3099.46,2935.74,2945.33,2936.52,2948.76,2876.34,2821.00,3050.24,2850.96
,28,2971.20,2992.53,2957.95,3009.67,3414.18,3408.13,3418.89,3453.82,3481.08,3411.91,3448.58,3481.82,3411.71,3405.33,3419.75,3330.40,4081.86,4205.57,4188.51,4084.87,3007.29,2980.31,2989.58,2975.44,3331.43,3354.99,3366.44,3379.19,3569.90,3618.05,3611.33,3573.78,3266.82,3291.98,3211.37,3290.84,4134.31,4038.81,4018.79,4086.65,2981.22,2999.83,3009.90,2992.62,3219.71,3278.64,3174.29,3184.35,3928.49,4044.11,3868.63,3728.63,3030.60,3056.20,3083.23,3038.66,3876.09,3775.84,3806.88,3869.52,3010.28,2997.56,2968.60,2912.58,3095.61,3123.24,3084.60,3115.07,3967.17,3934.66,3837.41,3858.44,2935.46,2886.96,2963.03,2951.91,3660.01,3712.17,3515.10,3536.40,2982.15,2979.32,2934.09,2950.62,2997.36,2992.26,3008.21,2936.61,3268.48,3946.77,3932.52,3895.83,2874.34,2887.50,2877.15,2855.83,3431.38,3440.37,3352.01,3356.60,2972.84,3006.32,2971.13,2944.54,2887.70,2949.28,2940.44,2890.49,3138.50,3198.47,3175.35,3164.09,2937.44,2946.19,2936.69,2948.73,2878.66,2817.90,3043.27,2849.38
,29,2967.86,2990.46,2954.86,3006.06,3444.75,3438.11,3451.92,3488.14,3512.41,3438.58,3473.67,3513.47,3437.01,3437.91,3451.21,3353.48,4128.13,4258.33,4240.15,4133.56,3006.50,2973.19,2992.40,2973.35,3360.64,3384.67,3403.41,3419.12,3607.49,3659.46,3646.06,3612.89,3288.60,3318.47,3233.70,3311.62,4196.09,4093.37,4076.11,4146.74,2980.34,3003.52,3013.10,2992.97,3251.47,3308.72,3201.02,3210.14,3979.84,4097.19,3919.41,3772.39,3044.01,3072.93,3094.39,3050.96,3946.77,3840.14,3869.99,3937.68,3006.41,2997.81,2971.22,2910.81,3122.21,3156.32,3113.14,3143.61,4022.90,3984.70,3889.62,3905.92,2941.52,2891.82,2974.75,2951.51,3727.70,3780.66,3576.52,3596.66,2977.59,2978.77,2933.07,2948.48,3022.03,3016.70,3033.03,2957.45,3326.83,4001.13,3986.00,3945.88,2874.58,2889.60,2875.08,2857.75,3504.68,3515.43,3418.86,3430.75,2974.43,3006.26,2974.42,2944.39,2913.09,2971.32,2968.90,2915.18,3200.70,3266.43,3246.58,3234.30,2932.40,2943.70,2935.72,2951.85,2873.28,2815.42,3042.91,2848.11
,30,2966.11,2994.31,2960.89,3010.30,3474.39,3464.56,3481.69,3514.42,3538.65,3468.07,3503.79,3539.24,3466.82,3464.89,3471.91,3378.79,4175.16,4299.10,4289.60,4178.23,3008.70,2978.48,2991.96,2973.85,3394.59,3417.51,3434.27,3447.87,3640.34,3699.72,3684.13,3644.41,3313.26,3344.58,3257.03,3336.29,4255.90,4148.20,4132.65,4209.59,2979.55,3002.08,3012.26,2991.73,3283.12,3341.28,3232.83,3236.22,4032.88,4153.94,3972.39,3817.74,3052.50,3079.05,3105.65,3064.18,4012.24,3899.06,3926.45,4005.03,3010.57,2996.00,2972.29,2914.04,3148.81,3189.70,3142.66,3175.22,4076.38,4036.85,3938.32,3953.74,2948.48,2900.64,2982.45,2959.95,3797.91,3854.50,3638.02,3660.67,2975.96,2976.21,2932.87,2952.96,3050.83,3042.99,3060.86,2978.80,3384.51,4053.17,4040.15,3996.63,2874.83,2890.26,2877.95,2857.36,3578.17,3586.57,3489.18,3495.81,2973.10,3010.80,2975.19,2945.38,2932.07,2998.46,2994.37,2940.26,3264.64,3340.73,3317.51,3304.59,2934.98,2941.81,2934.27,2950.19,2875.51,2817.58,3046.95,2849.69
,31,2966.84,2993.01,2959.79,3006.60,3499.57,3494.77,3508.54,3545.68,3568.23,3494.69,3533.63,3571.98,3500.95,3492.79,3505.66,3408.25,4217.14,4352.01,4337.93,4224.18,3009.61,2976.30,2996.55,2971.88,3427.91,3447.52,3470.55,3481.84,3679.41,3733.53,3719.56,3677.81,3336.14,3369.84,3276.75,3362.02,4313.31,4206.25,4186.99,4265.35,2978.14,3001.36,3012.75,2993.58,3312.91,3369.87,3253.96,3271.23,4080.34,4212.11,4016.06,3861.17,3065.56,3097.79,3117.00,3071.04,4078.69,3957.18,3989.07,4068.17,3007.19,2996.60,2966.64,2915.46,3177.71,3217.99,3171.55,3204.10,4129.66,4086.75,3983.76,4002.25,2951.42,2908.28,2987.45,2970.89,3872.40,3921.53,3697.30,3727.02,2982.62,2978.23,2932.92,2951.28,3073.38,3068.21,3086.66,3007.64,3442.57,4106.53,4088.46,4038.48,2879.91,2896.16,2878.59,2858.73,3650.40,3663.62,3559.56,3561.05,2973.65,3008.90,2973.72,2944.95,2956.94,3022.40,3022.47,2962.32,3328.99,3413.60,3388.95,3376.59,2931.82,2941.62,2932.25,2948.30,2876.94,2818.88,3049.02,2848.84
,32,2967.09,2995.42,2958.24,3011.34,3529.18,3521.28,3535.40,3572.71,3601.20,3520.45,3565.68,3603.27,3525.05,3518.03,3532.45,3434.73,4260.98,4391.08,4380.54,4267.97,3009.93,2977.37,2993.16,2974.21,3454.77,3476.95,3498.91,3514.19,3708.59,3769.64,3756.96,3716.16,3359.16,3392.80,3300.11,3382.47,4368.83,4257.94,4242.33,4322.03,2981.10,3001.01,3015.01,2990.79,3338.65,3406.57,3287.07,3301.14,4127.94,4268.24,4063.07,3896.83,3080.39,3108.72,3131.86,3082.86,4135.92,4012.41,4047.69,4131.11,3004.10,2995.00,2967.01,2914.16,3207.28,3252.63,3198.81,3234.14,4181.81,4132.03,4030.53,4046.47,2961.03,2912.45,2995.53,2977.10,3935.36,3988.29,3755.75,3781.84,2977.68,2980.38,2935.49,2949.65,3100.09,3093.42,3116.38,3031.18,3498.65,4157.69,4139.43,4089.47,2878.34,2896.84,2886.30,2866.14,3719.49,3735.22,3620.70,3631.92,2973.77,3007.68,2974.60,2946.49,2980.30,3053.90,3052.15,2989.62,3393.96,3491.26,3468.79,3454.40,2933.47,2941.71,2931.73,2947.00,2875.58,2817.88,3045.40,2849.26
