"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","P1","P2","P3"
"cpD1",20.55,20.2,30.35,30.2,22.11,21.52,40,40,19.66,19.65,21.1,21.04,23.44,23.45,32.74,32.78,25,24.76,26.49,40,23.27,23.23,24.78,25.6,26.95,26.91,35.47,35.23,28.38,28.17,28.09,40,26.54,26.54,28.13,28.12,30.18,31.46,37.73,37.53,31.3,31.13,31.57,22.74,29.54,29.53,31.01,31.18,32.46,32.44,40,39.27,33.24,33.15,33.36,29.37,32.28,32.25,33.56,33.48,40,29.64,40
"cpD2",12.78,12.54,24.98,25.09,13.66,13.42,40,40,12.17,12.15,13.29,13.25,16.76,16.72,28.27,28.5,17.77,17.74,21.25,2.79,16.57,16.6,17.99,18.45,21.05,21.06,31.78,31.93,22.23,22.18,23.05,1.54,20.67,20.62,22.29,22.29,25.15,27.16,35.13,34.91,26.13,26.07,27.23,16.46,24.39,24.33,26,26.14,28.11,28.15,40,37.08,29.06,28.93,28.23,17.26,27.85,27.84,29.4,29.46,1,27.44,39.29
