,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
1074,mmp184,2259.2,389.1,3.05,3,,
1075,npi296,2259.8,389.7,3.05,3,,
1076,umc1539,2260.4,390.3,3.05,3,,
1077,IDP1434,2260.61,390.51,3.05,3,,
1078,bnl5.37b,2260.9,390.8,3.05,3,,
1079,umc1311,2264.9,394.8,3.06,3,,
1080,umc1730,2268.5,398.4,3.06,3,,
1081,gpm325b,2268.6,398.5,3.06,3,,
1082,gpm249a,2268.84,398.74,3.06,3,,
1083,umc1027,2271.3,401.2,3.06,3,,
1084,lim486,2275.4,405.3,3.06,3,,
1085,IDP73,2279.93,409.83,3.06,3,,
1086,rz538b,2281.2,411.1,3.06,3,,
1087,gpm938a,2283.44,413.34,3.06,3,,
1088,gpm820b,2284.1,414,3.06,3,,
1089,AY106026,2285.44,415.34,3.06,3,,
1090,asg39,2286.2,416.1,3.06,3,,
1091,IDP249,2286.76,416.66,3.06,3,,
1092,BE639846,2293.7,423.6,3.06,3,,
1093,IDP854,2296.28,426.18,3.06,3,,
1094,IDP522,2296.32,426.22,3.06,3,,
1095,gpm799,2296.55,426.45,3.06,3,,
1096,umc2266,2304.4,434.3,3.06,3,,
1097,gpm274,2306.41,436.31,3.06,3,,
1098,gpm44b,2312.52,442.42,3.06,3,,
1099,gpm425a,2316.97,446.87,3.06,3,,
1100,AY110055,2320.4,450.3,3.06,3,,
1101,IDP4064,2321.06,450.96,3.06,3,,
1102,mmp27,2321.5,451.4,3.06,3,,
1103,jpsb79,2321.6,451.5,3.06,3,,
1104,IDP434,2323.11,453.01,3.06,3,,
1105,psr754a,2330,459.9,3.06,3,,
1106,IDP842,2331.19,461.09,3.06,3,,
1107,umc2268,2331.2,461.1,3.06,3,,
1108,gpm298,2334.98,464.88,3.06,3,,
1109,gpm753d,2336,465.9,3.06,3,,
1110,gpm716d,2336.23,466.13,3.06,3,,
1111,lim331a,2338.21,468.11,3.06,3,,
1112,gpm37,2338.62,468.52,3.06,3,,
1113,umc1644,2343.2,473.1,3.06,3,,
1114,gpm588a,2347.02,476.92,3.06,3,,
1115,IDP1440,2347.28,477.18,3.06,3,,
1116,mmp5,2347.6,477.5,3.06,3,,
1117,csu1183,2350.2,480.1,3.06,3,,
1118,bnlg1951,2351.7,481.6,3.06,3,,
1119,gpm716b,2351.84,481.74,3.06,3,,
1120,IDP338,2352.4,482.3,3.06,3,,
1121,IDP3874,2353.81,483.71,3.06,3,,
1122,gpm34b,2355.3,485.2,3.06,3,,
1123,IDP1680,2357.88,487.78,3.06,3,,
1124,csu191,2358.1,488,3.06,3,,
1125,IDP149,2360.3,490.2,3.06,3,,
1126,bnlg1160,2361.5,491.4,3.06,3,,
1127,gpm416b,2361.51,491.4,3.06,3,,
1128,gpm211,2361.52,491.41,3.06,3,,
1129,umc2270,2364.11,494,3.06,3,,
1130,IDP1689,2364.96,494.85,3.06,3,,
1131,IDP2348,2367.74,497.63,3.06,3,,
1132,sdg113,2368.7,498.59,3.06,3,,
1133,lim424,2373.11,503,3.06,3,,
1134,lim269,2374.81,504.7,3.06,3,,
1135,AY111125,2377.31,507.2,3.06,3,,
1136,php15033,2381.21,511.1,3.06,3,,
1137,bnlg197,2381.61,511.5,3.06,3,,
1138,AI770795,2382.81,512.7,3.06,3,,
1139,asg7b,2387.11,517,3.06,3,,
1140,bnl6.16a,2390.81,520.7,3.07,3,,
1141,umc3b,2399.51,529.4,3.07,3,,
1142,umc2050,2408.31,538.2,3.07,3,,
1143,umc1135,2410.31,540.2,3.07,3,q18,
1144,umc1767,2412.11,542,3.07,3,q18,
1145,gpm811,2412.95,542.84,3.07,3,q18,
1146,AY107018,2414.15,544.04,3.07,3,q18,
1147,umc2272,2414.31,544.2,3.07,3,q18,
1148,umc1528,2414.51,544.4,3.07,3,q18,
1149,gpm159,2414.71,544.6,3.07,3,q18,
1150,bnlg1605,2414.72,544.6,3.07,3,q18,
1151,IDP3775b,2415.13,545.01,3.07,3,q18,
1152,gpm823,2415.77,545.65,3.07,3,q18,
1153,IDP1617,2417.15,547.03,3.07,3,q18,
1154,IDP783,2418.66,548.54,3.07,3,q18,
1155,gpm649,2419.1,548.98,3.07,3,q18,
1156,IDP137,2420.63,550.51,3.07,3,q18,
1157,gpm664,2432.17,562.05,3.07,3,,
1158,AY104511,2432.22,562.1,3.07,3,,
1159,AY109828,2436.62,566.5,3.07,3,,
1160,asg10,2437.52,567.4,3.07,3,,
1161,umc1489,2437.72,567.6,3.07,3,,
1162,umc2273,2438.12,568,3.07,3,,
1163,umc1404,2438.42,568.3,3.07,3,,
1164,gpm395a,2438.83,568.71,3.07,3,,
1165,gpm219,2442.69,572.57,3.07,3,,
1166,gpm700,2442.82,572.7,3.07,3,,
1167,sdg117a,2445.09,574.97,3.07,3,,
1168,smh4,2447.74,577.62,3.07,3,,
1169,AY106518,2449.15,579.03,3.07,3,,
1170,umc1825,2449.62,579.5,3.07,3,,
1171,IDP3772,2453.17,583.05,3.07,3,,
1172,IDP3894,2453.68,583.56,3.07,3,,
1173,umc17a,2455.62,585.5,3.08,3,,
1174,AW258116,2457.11,586.99,3.08,3,,
1175,IDP583,2466.61,596.49,3.08,3,,
1176,IDP3846,2467.16,597.04,3.08,3,,
1177,AY105849,2467.72,597.6,3.08,3,,
1178,gpm365c,2476.25,606.13,3.08,3,,
1179,gpm239a,2476.78,606.66,3.08,3,,
1180,umc2274,2478.72,608.6,3.08,3,,
1181,umc1140,2479.32,609.2,3.08,3,,
1182,umc2275,2480.32,610.2,3.08,3,,
1183,mmc0251,2481.52,611.4,3.08,3,,
1184,cdo118,2481.92,611.8,3.08,3,,
1185,IDP472,2483.69,613.57,3.08,3,,
1186,gpm892,2483.8,613.68,3.08,3,,
1187,gpm268c,2483.85,613.73,3.08,3,,q15
1188,umc1915,2487.62,617.5,3.08,3,,q15
1189,bnlg1108,2488.72,618.6,3.08,3,,q15
1190,gpm850b,2489.07,618.95,3.08,3,,q15
1191,IDP546,2490.97,620.85,3.08,3,,q15
1192,IDP3849,2492.24,622.12,3.08,3,,q15
1193,IDP3927,2492.25,622.12,3.08,3,,q15
1194,IDP3813,2494.1,623.97,3.08,3,,q15
1195,IDP1608,2494.28,624.15,3.08,3,,q15
1196,gpm173,2495.42,625.29,3.08,3,,q15
1197,sdg115,2495.73,625.6,3.08,3,,q15
1198,umc2081,2497.23,627.1,3.08,3,,
1199,php10080,2502.53,632.4,3.08,3,,
1200,umc1320,2503.93,633.8,3.08,3,,
1201,umc1273,2504.93,634.8,3.08,3,,
1202,AY109934,2508.43,638.3,3.08,3,,
1203,umc2276,2522.53,652.4,3.08,3,,q16
1204,IDP128,2529.68,659.55,3.08,3,,q16
1205,umc2174,2553.73,683.6,3.08,3,,q16
1206,AY110540,2561.33,691.2,3.08,3,,q16
1207,umc63a,2567.33,697.2,3.09,3,,q16
1208,IDP509,2567.88,697.75,3.09,3,,q16
1209,IDP11,2567.89,697.75,3.09,3,,q16
1210,gpm652a,2568.23,698.09,3.09,3,,q16
1211,csu303,2569.34,699.2,3.09,3,,q16
1212,csu845,2572.34,702.2,3.09,3,,q16
1213,IDP2379,2578.42,708.28,3.09,3,,q16
1214,AY111254,2586.28,716.14,3.09,3,,q16
1215,IDP2591,2592.73,722.59,3.09,3,,
1216,IDP351,2594.77,724.63,3.09,3,,
1217,jpsb107c,2598.24,728.1,3.09,3,,
1218,IDP477,2598.84,728.7,3.09,3,,
1219,jpsb443,2602.64,732.5,3.09,3,,
1220,jpsb106,2602.74,732.6,3.09,3,,
1221,gpm89c,2604.33,734.19,3.09,3,,
1222,lim182,2613.14,743,3.09,3,,
1223,IDP284,2614.13,743.99,3.09,3,,q17
1224,umc2008,2617.14,747,3.09,3,,q17
1225,umc2277,2617.64,747.5,3.09,3,,q17
1226,umc1813,2618.64,748.5,3.09,3,,q17
1227,IDP406,2619.06,748.92,3.09,3,,q17
1228,bnlg1536,2622.24,752.1,3.09,3,,q17
1229,IDP624,2627.14,757,3.09,3,,q17
1230,bnlg1754,2627.15,757,3.09,3,,q17
1231,npi457,2628.35,758.2,3.09,3,,q17
1232,npi425a,2630.05,759.9,3.09,3,,q17
1233,bnlg1496,2631.05,760.9,3.09,3,,q17
1234,IDP9,2631.77,761.62,3.09,3,,q17
1235,gpm591a,2635.12,764.97,3.09,3,,q17
1236,AY110567,2639.15,769,3.09,3,,q17
1237,IDP518,2640.55,770.4,3.09,3,,q17
1238,IDP398,2644.45,774.3,3.09,3,,q17
1239,IDP152,2651.23,781.08,3.09,3,,q17
1240,gpm660c,2659.88,789.73,3.09,3,,q17
1241,npi420,2661.75,791.6,3.09,3,q19,
1242,gpm365d,2663.6,793.45,3.09,3,q19,
1243,IDP253,2666.41,796.26,3.09,3,q19,
1244,IDP1480,2668.43,798.28,3.09,3,q19,
1245,IDP116,2672.3,802.15,3.09,3,q19,
1246,umc1641,2677.05,806.9,3.09,3,q19,
1247,gpm34a,2677.11,806.96,3.09,3,q19,
1248,IDP2394,2678.19,808.04,3.09,3,q19,
1249,IDP798,2679.01,808.86,3.09,3,q19,
1250,IDP58,2681.57,811.42,3.09,3,q19,
1251,IDP3907,2683.36,813.21,3.09,3,q19,
1252,gpm253a,2685.78,815.63,3.09,3,q19,
1253,IDP545,2693.08,822.93,3.09,3,,
1254,lim96,2693.65,823.5,3.09,3,,
1255,IDP2566,2693.79,823.64,3.09,3,,
1256,plt2,2697.55,827.4,3.09,3,,
1257,IDP3833,2697.56,827.4,3.09,3,,
1258,umc255b,2700.06,829.9,3.09,3,,
1259,IDP158,2700.07,829.9,3.09,3,,
1260,gpm34i,2716.78,846.61,3.1,3,,
1261,gpm34c,2745.08,874.91,3.1,3,,
1262,gpm880d,2755,986,3.1,3,,
1263,umc2278,2760,0,4,4,,
1264,ufg26,2761.8,1.8,4,4,,
1265,mtl1,2762.9,2.9,4,4,,
1266,bnlg1434,2764.3,4.3,4,4,,
1267,ufg52,2767,7,4,4,,
1268,mmp192,2773.7,13.7,4,4,,
1269,IDP238,2778.34,18.34,4,4,,
1270,csu221,2778.7,18.7,4,4,,
1271,umc2279,2782.9,22.9,4,4,,
1272,umc1228,2783.4,23.4,4,4,,
1273,IDP462,2783.52,23.52,4,4,,
1274,mmp174,2790.4,30.4,4.01,4,,
1275,bx4,2797.5,37.5,4.01,4,,
1276,gpm741a,2801.56,41.56,4.01,4,,
1277,cyp5,2806.6,46.6,4.01,4,,
1278,gpm521b,2822.79,62.79,4.01,4,,
1279,IDP1659,2829.72,69.72,4.01,4,,
1280,IDP483,2831.51,71.51,4.01,4,,
1281,gpm848b,2836.95,76.95,4.05,4,,
1282,umc1757,2841,81,4.01,4,,
1283,IDP3934,2846.33,86.33,4.02,4,,
1284,IDP2397,2859,99,4.02,4,,
1285,IDP2484,2859.32,99.32,4.02,4,,
1286,IDP85,2872.45,112.45,4.02,4,,
1287,gpm549,2878.06,118.06,4.02,4,,
1288,gpm480,2881.19,121.19,4.02,4,,
1289,gpm909a,2882.37,122.37,4.02,4,,
1290,psr144b,2890.1,130.1,4.02,4,,
1291,gpm574a,2891.79,131.79,4.02,4,,
1292,chr117c,2894.1,134.1,4.02,4,,
1293,umc87a,2894.11,134.1,4.02,4,,
1294,umc31a,2895.11,135.1,4.03,4,,
1295,bnlg1126,2895.31,135.3,4.03,4,,
1296,gpm335,2900.32,140.31,4.03,4,,
1297,gpm880e,2900.59,140.58,4.03,4,,
1298,gpm523,2900.91,140.9,4.03,4,,
1299,umc2082,2901.61,141.6,4.03,4,,
1300,gpm861b,2903.16,143.15,4.03,4,,
1301,csu235,2903.41,143.4,4.03,4,,
1302,gpm147,2905.29,145.28,4.03,4,,
1303,adh2,2907.11,147.1,4.03,4,,
1304,rz53b,2907.21,147.2,4.03,4,,q18
1305,IDP2387,2907.76,147.75,4.03,4,,q18
1306,IDP1499,2909.6,149.59,4.03,4,,q18
1307,AY110253,2912.91,152.9,4.03,4,,q18
1308,umc2281,2918.61,158.6,4.03,4,,
1309,umc2280,2918.81,158.8,4.03,4,,q19
1310,AY110573,2923.91,163.9,4.03,4,,q19
1311,gpm580a,2924.66,164.65,4.03,4,,q19
1312,umc2176,2934.61,174.6,4.03,4,,q19
1313,umc1902,2941.41,181.4,4.03,4,,q19
1314,IDP478,2941.42,181.41,4.03,4,,q19
1315,mmp111,2949.11,189.1,4.03,4,,q19
1316,gpm367a,2953.47,193.46,4.03,4,,q19
1317,umc2039,2956.41,196.4,4.03,4,,q19
1318,IDP388,2960.31,200.3,4.03,4,,q19
1319,gpm817,2963.8,203.79,4.03,4,,q19
1320,wip2,2965.01,205,4.03,4,q20,
1321,gpm761b,2968.3,208.29,4.03,4,q20,
1322,bnl8.45c,2977.57,217.56,4.04,4,q20,
1323,gpm415b,2978.5,218.49,4.04,4,q20,
1324,umc1117,2978.51,218.5,4.04,4,q20,
1325,lim415,2983.61,223.6,4.04,4,q20,
1326,IDP454,2984.03,224.02,4.04,4,q20,
1327,umc1963,2985.71,225.7,4.04,4,q20,
1328,jpsb527b,2990.41,230.4,4.04,4,q20,
1329,zp1,2992.21,232.2,4.04,4,q20,
1330,mmc0471a,2992.22,232.2,4.04,4,q20,
1331,bnlg490,2997.82,237.8,4.04,4,q20,
1332,gpm145c,3004.28,244.26,4.04,4,q20,
1333,gpm174b,3004.67,244.65,4.04,4,q20,
1334,gpm287a,3005.37,245.35,4.04,4,q20,
1335,agrr301,3005.52,245.5,4.05,4,q20,
1336,gpm50b,3007.66,247.64,4.05,4,q20,
1337,gpm325d,3010.81,250.79,4.05,4,q20,
1338,gpm888,3010.82,250.79,4.05,4,q20,
1339,umc2061,3010.83,250.8,4.05,4,q20,
1340,gpc1,3014.03,254,4.05,4,q20,
1341,umc2282,3014.93,254.9,4.05,4,q20,
1342,IDP625,3018.63,258.6,4.05,4,q20,
1343,IDP68,3019.79,259.76,4.05,4,q20,
1344,AY107128,3022.41,262.38,4.05,4,q20,
1345,bnlg1217,3025.13,265.1,4.05,4,q20,
1346,IDP476,3026.11,266.08,4.05,4,q20,
1347,gpm155,3027.44,267.41,4.05,4,q20,
1348,bnlg1265,3028.43,268.4,4.05,4,q20,
1349,umc1303,3030.33,270.3,4.05,4,q20,
1350,IDP3983,3030.61,270.58,4.05,4,q20,
1351,IDP355,3030.83,270.8,4.05,4,q20,
1352,umc1964,3031.43,271.4,4.05,4,q20,
1353,gpm800a,3033.3,273.27,4.05,4,q20,
1354,AY110290,3034.73,274.7,4.05,4,q20,
1355,psr152b,3037.83,277.8,4.05,4,,
1356,mmp125,3043.33,283.3,4.05,4,,
1357,gpm130,3043.91,283.88,4.05,4,,
1358,umc1031,3046.03,286,4.05,4,,
1359,umc42a,3048.43,288.4,4.05,4,,
1360,chr112a,3048.74,288.71,4.05,4,,
1361,isu61d,3051.33,291.3,4.05,4,,
1362,jpsb67,3052.43,292.4,4.05,4,,
1363,bnl15.45,3052.93,292.9,4.05,4,,
1364,umc1953,3054.33,294.3,4.05,4,,
1365,umc2283,3054.43,294.4,4.05,4,,
1366,IDP857,3054.99,294.96,4.05,4,,
1367,IDP2574,3055.01,294.98,4.05,4,,
1368,IDP636,3055.03,295,4.05,4,,
1369,IDP2425,3055.04,295,4.05,4,,
1370,IDP240,3055.05,295.01,4.05,4,,
1371,IDP642,3055.07,295.03,4.05,4,,
1372,IDP161,3055.08,295.03,4.05,4,,
1373,gpm514a,3055.21,295.16,4.05,4,,
1374,umc1511,3055.25,295.2,4.05,4,,
1375,psr128,3057.45,297.4,4.05,4,,
1376,umc1791,3058.15,298.1,4.05,4,,
1377,mmp190,3058.45,298.4,4.05,4,,
1378,gpm684,3058.93,298.88,4.05,4,,
1379,mmp140,3058.95,298.9,4.05,4,,
1380,bnlg1755,3059.95,299.9,4.05,4,,
1381,mmp45,3060.25,300.2,4.05,4,,
1382,gpm425b,3061.14,301.09,4.05,4,,
1383,gpm571,3061.69,301.64,4.05,4,,
1384,gpm706c,3061.7,301.64,4.05,4,,
1385,gpm258,3061.89,301.83,4.05,4,,
1386,umc1142,3062.56,302.5,4.05,4,,
1387,gpm26a,3063.54,303.48,4.05,4,,
1388,AY105043,3064.36,304.3,4.05,4,,
1389,umc1702,3065.26,305.2,4.05,4,,
1390,mmp155,3065.56,305.5,4.05,4,,
1391,mmp149a,3066.46,306.4,4.05,4,,
1392,mmp86,3067.46,307.4,4.05,4,,
1393,nfd104e,3068.37,308.31,4.05,4,,
1394,IDP326,3073.64,313.58,4.05,4,,
1395,nfa104,3074.96,314.9,4.05,4,,
1396,gpm117b,3077.52,317.46,4.06,4,,
1397,AY110562,3080.46,320.4,4.06,4,,
1398,AY110355,3086.56,326.5,4.06,4,,
1399,IDP2421,3089.66,329.6,4.06,4,,
1400,IDP2356,3089.68,329.62,4.06,4,,
1401,mmc0371,3091.36,331.3,4.06,4,,
1402,umc2284,3092.46,332.4,4.06,4,,
1403,umc1945,3093.26,333.2,4.06,4,,
1404,gpm168b,3094.97,334.91,4.06,4,,
1405,mmp74,3095.26,335.2,4.06,4,,
1406,IDP554,3095.47,335.41,4.06,4,,
1407,gpm527a,3095.57,335.51,4.06,4,,
1408,IDP1676,3104.17,344.11,4.06,4,,
1409,IDP2418,3104.96,344.9,4.06,4,,
1410,gpm563b,3106.81,346.75,4.06,4,q21,
1411,nfd105,3108.43,348.37,4.06,4,q21,
1412,gpm936a,3109.13,349.07,4.06,4,q21,
1413,umc2027,3109.86,349.8,4.06,4,q21,
1414,gpm265,3110.12,350.06,4.06,4,q21,
1415,IDP852,3113.65,353.59,4.06,4,q21,
1416,mmp97,3114.56,354.5,4.06,4,q21,
1417,gpm458,3121.77,361.71,4.06,4,q21,
1418,gpm654,3122.18,362.12,4.06,4,q21,
1419,AY110310,3122.46,362.4,4.06,4,q21,
1420,mpik3,3127.26,367.2,4.06,4,q21,
1421,IDP1667,3129.8,369.74,4.06,4,q21,
1422,IDP2466,3131.26,371.2,4.06,4,q21,
1423,IDP1943,3133.76,373.7,4.06,4,q21,
1424,IDP1684,3133.77,373.7,4.06,4,q21,
1425,IDP2349,3135.98,375.91,4.06,4,q21,
1426,IDP600,3138.76,378.69,4.06,4,q21,
1427,IDP308,3139.55,379.48,4.06,4,q21,
1428,IDP851,3140.9,380.83,4.06,4,,
1429,gpm366,3146.69,386.62,4.06,4,,
1430,gpm903b,3149.47,389.4,4.06,4,,
1431,bnlg2291,3152.27,392.2,4.06,4,,
1432,bnlg1137,3152.47,392.4,4.06,4,,
1433,gsy289b,3159.18,399.11,4.07,4,,
1434,gpm117c,3160.82,400.75,4.07,4,,
1435,IDP3905,3166.72,406.65,4.07,4,,
1436,umc104a,3168.77,408.7,4.07,4,,
1437,mmp147,3170.87,410.8,4.07,4,,
1438,umc2038,3171.37,411.3,4.07,4,,
1439,umc19,3174.27,414.2,4.07,4,,
1440,IDP1671,3181.68,421.61,4.07,4,,
1441,IDP1421,3182.89,422.82,4.07,4,,
1442,bnlg1189,3188.07,428,4.07,4,,
1443,bnl5.24b,3190.27,430.2,4.07,4,,
1444,asg33,3197.57,437.5,4.07,4,,
1445,gpm108a,3199.89,439.82,4.07,4,,
1446,umc1775,3203.27,443.2,4.07,4,,
1447,IDP1980,3206.13,446.06,4.08,4,,
1448,umc1667,3209.47,449.4,4.08,4,,
1449,AY109534,3212.17,452.1,4.08,4,,
1450,umc1808,3212.97,452.9,4.08,4,,
1451,mmp3,3215.97,455.9,4.08,4,,
1452,gpm874a,3216.75,456.68,4.08,4,,
1453,asg27a,3218.17,458.1,4.08,4,,
1454,umc1476,3222.17,462.1,4.08,4,,
1455,bnlg1444,3222.57,462.5,4.08,4,,
1456,gol1,3223.37,463.3,4.08,4,,
1457,gpm433,3224.37,464.3,4.08,4,,
1458,bnl7.65,3224.87,464.8,4.08,4,q22,
1459,bnl10.05,3226.17,466.1,4.08,4,q22,
1460,bnlg2244,3227.17,467.1,4.08,4,q22,
1461,umc1899,3230.67,470.6,4.08,4,q22,
1462,gpm466a,3233.68,473.61,4.08,4,q22,
1463,umc158,3233.97,473.9,4.08,4,q22,
1464,gpm805a,3234.08,474.01,4.08,4,q22,
1465,bnlg2162,3235.77,475.7,4.08,4,q22,
1466,mmp70,3236.07,476,4.08,4,q22,
1467,IDP1991,3238.96,478.89,4.08,4,q22,
1468,IDP100,3240.77,480.7,4.08,4,q22,
1469,gpm39,3245.32,485.25,4.08,4,q22,
1470,AY112127,3247.77,487.7,4.08,4,q22,
1471,IDP188,3248.52,488.45,4.08,4,q22,
1472,ufg23,3259.97,499.9,4.08,4,q22,
1473,IDP276,3266.07,506,4.08,4,q22,
1474,AY110631,3270.07,510,4.08,4,q22,
1475,umc2285,3274.97,514.9,4.08,4,,
1476,npi270,3276.67,516.6,4.08,4,,
1477,ssu1,3282.17,522.1,4.08,4,,
1478,gpm867,3282.86,522.79,4.08,4,,
1479,gpm307c,3284.17,524.1,4.08,4,,
1480,npi444,3284.18,524.1,4.08,4,,
1481,umc15a,3285.88,525.8,4.08,4,,
1482,gpm772a,3287.8,527.72,4.08,4,,
1483,gpm484b,3290.11,530.03,4.08,4,,
1484,umc2187a,3291.78,531.7,4.08,4,,
1485,umc1842,3294.88,534.8,4.08,4,,
1486,AY109980,3295.48,535.4,4.08,4,,
1487,umc1132,3295.58,535.5,4.08,4,,
1488,mbd121,3295.8,535.72,4.08,4,q23,
1489,AY105971,3296.38,536.3,4.08,4,q23,
1490,AY110989,3296.98,536.9,4.08,4,q23,
1491,IDP867,3298.6,538.52,4.08,4,q23,
1492,IDP307,3298.82,538.74,4.08,4,q23,
1493,rz596b,3299.08,539,4.08,4,q23,
1494,IDP324,3309.75,549.67,4.08,4,q23,
1495,mmp178,3311.08,551,4.08,4,q23,
1496,umc2286,3313.78,553.7,4.08,4,q23,
1497,umc2188,3314.18,554.1,4.08,4,q23,
1498,umc52a,3319.08,559,4.09,4,q23,
1499,AY110170,3321.58,561.5,4.09,4,q23,
1500,IDP2357,3323.45,563.37,4.09,4,,
1501,IDP113,3328.76,568.68,4.09,4,,
1502,IDP4063,3330.71,570.63,4.09,4,,
1503,IDP513,3331.05,570.97,4.09,4,,
1504,gpm816,3333.06,572.98,4.09,4,,
1505,gpm449b,3333.2,573.12,4.09,4,,
1506,gpm609,3333.54,573.46,4.09,4,,
1507,gpm276b,3339.42,579.34,4.09,4,,
1508,IDP1422,3339.88,579.8,4.09,4,,
1509,php10025,3339.89,579.8,4.09,4,,
1510,gpm353,3340.12,580.03,4.09,4,,
1511,AY111962,3342.26,582.17,4.09,4,,
1512,nfd107,3344.28,584.19,4.09,4,,
1513,gpm611,3345.71,585.62,4.09,4,,
1514,IDP210,3348.31,588.22,4.09,4,,
1515,IDP1621,3349.81,589.72,4.09,4,,
1516,umc1854,3355.79,595.7,4.09,4,,
1517,mmp24,3358.69,598.6,4.09,4,,
1518,gpm321b,3358.77,598.68,4.09,4,,
1519,mmp134,3359.59,599.5,4.09,4,,
1520,npi449b,3361.69,601.6,4.09,4,,
1521,gpm602b,3361.74,601.65,4.09,4,,
1522,umc1650,3362.19,602.1,4.09,4,,
1523,IDP28,3362.29,602.2,4.09,4,,
1524,umc1803,3362.3,602.2,4.09,4,,
1525,asg22,3363.4,603.3,4.09,4,,
1526,AY107200,3368.34,608.24,4.09,4,,
1527,AY109933,3373.1,613,4.09,4,,
1528,IDP3866,3376.04,615.94,4.09,4,,
1529,IDP1949,3376.05,615.94,4.09,4,,
1530,AY110064,3376.81,616.7,4.09,4,,
1531,umc2287,3379.51,619.4,4.09,4,,
1532,chb102,3380.17,620.06,4.09,4,,
1533,mbd116,3383.2,623.09,4.09,4,,
1534,gpm296a,3390.86,630.75,4.09,4,,
1535,gpm450a,3391.76,631.65,4.09,4,q24,
1536,gpm363e,3394.07,633.96,4.09,4,q24,
1537,AY110231,3395.31,635.2,4.09,4,q24,
1538,sbp2,3404.41,644.3,4.09,4,q24,
1539,bnlg1565,3405.81,645.7,4.09,4,q24,
1540,gpm875,3409.69,649.58,4.09,4,q24,
1541,npi593a,3411.81,651.7,4.09,4,q24,
1542,AY107910,3411.82,651.71,4.09,4,q24,
1543,umc1101,3415.11,655,4.09,4,q24,
1544,umc2046,3417.11,657,4.09,4,q24,
1545,IDP414,3424.52,664.41,4.09,4,q24,
1546,IDP4019,3427.21,667.1,4.09,4,q24,
1547,bnlg589,3430.31,670.2,4.1,4,q24,
1548,umc1532,3432.01,671.9,4.1,4,,
1549,gpm803b,3435.09,674.98,4.1,4,,
1550,gpm924c,3436.59,676.48,4.1,4,,
1551,IDP1459,3441.3,681.19,4.1,4,,
1552,umc2011,3442.84,682.73,4.1,4,,
1553,gpm350b,3445.42,685.31,4.1,4,,
1554,gpm665b,3446.67,686.56,4.1,4,,
1555,lim471a,3448.81,688.7,4.1,4,,
1556,gpm167a,3451.22,691.11,4.1,4,,
1557,IDP688,3453.43,693.32,4.1,4,,
1558,IDP3816,3454.7,694.59,4.1,4,,
1559,asg41,3455.61,695.5,4.1,4,,
1560,gpm629b,3457.08,696.97,4.1,4,,
1561,umc1180,3459.01,698.9,4.1,4,,
1562,gpm87a,3460.83,700.72,4.1,4,,
1563,AY109668,3462.31,702.2,4.1,4,,
1564,gpm663b,3463.66,703.55,4.1,4,,
1565,gpm122,3465.99,705.88,4.1,4,,
1566,AY109859,3468.61,708.5,4.1,4,,
1567,IDP3969,3475.41,715.3,4.1,4,q25,
1568,AY109611,3475.61,715.5,4.1,4,q25,
1569,hon106b,3482.06,721.95,4.1,4,q25,
1570,AY111822,3484.57,724.46,4.1,4,q25,
1571,gpm597,3485.71,725.6,4.1,4,q25,
1572,umc169a,3488.61,728.5,4.11,4,q25,
1573,gpm182,3488.68,728.57,4.11,4,q25,
1574,cat3,3491.71,731.6,4.11,4,q25,
1575,bip2,3497.91,737.8,4.11,4,q25,
1576,umc1649,3499.41,739.3,4.11,4,q25,
1577,IDP342,3500.81,740.7,4.11,4,q25,
1578,gpm247b,3500.92,740.81,4.11,4,q25,
1579,IDP155,3502.92,742.81,4.11,4,q25,
1580,umc1707,3508.41,748.3,4.11,4,q25,
1581,gpm566b,3509.24,749.13,4.11,4,q25,
1582,bnlg1890,3510.31,750.2,4.11,4,q25,
1583,AI676903,3515,0,5,5,q25,q20
1584,AY110625,3525.7,10.7,5,5,q25,q20
1585,AY109758,3532.1,17.1,5,5,,q20
1586,ufg36,3535.8,20.8,5,5,,q20
1587,gpm434b,3537.7,22.7,5,5,,q20
1588,IDP1658,3538.44,23.44,5,5,,q20
1589,IDP1619,3538.48,23.48,5,5,,q20
1590,csu1087,3539.5,24.5,5,5,,q20
1591,umc1423,3545,30,5,5,,q20
1592,umc1445,3552.6,37.6,5,5,,q20
1593,gpm548b,3553.27,38.27,5,5,,q20
1594,umc2022,3554.4,39.4,5,5,,q20
1595,mmp6,3557.4,42.4,5,5,,q20
1596,IDP440,3557.7,42.7,5,5,,q20
1597,IDP3935,3559.57,44.57,5,5,,q20
1598,IDP122,3559.9,44.9,5,5,,q20
1599,bnl8.33,3561.8,46.8,5,5,,q20
1600,bnlg1006,3562.5,47.5,5,5,,
1601,gpm666a,3566.23,51.23,5,5,,
1602,IDP2557,3566.94,51.94,5,5,,
1603,umc86b,3567.8,52.8,5,5,,
1604,gpm111,3567.86,52.86,5,5,,
1605,gpm707,3581.33,66.33,5,5,,
1606,umc1260,3583.1,68.1,5,5,,
1607,sca1,3583.5,68.5,5,5,,
1608,npi409a,3584.5,69.5,5.01,5,,
1609,umc1679,3586.5,71.5,5.01,5,,
1610,gpm449a,3586.62,71.62,5.01,5,,
1611,umc1523,3586.9,71.9,5.01,5,,
1612,IDP1638,3587.74,72.74,5.01,5,,
