,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
685,gpm918,1485.83,344.81,2.05,2,,
686,gpm141,1485.84,344.81,2.05,2,,
687,zpu1,1486.03,345,2.05,2,,
688,gpm820e,1486.04,345,2.05,2,,
689,AY107012,1486.05,345.01,2.05,2,,
690,umc1922,1486.24,345.2,2.05,2,,
691,IDP467,1486.46,345.42,2.05,2,,
692,gpm835c,1486.73,345.69,2.05,2,,
693,IDP363,1486.85,345.81,2.05,2,,
694,IDP631,1486.86,345.81,2.05,2,,
695,IDP488,1486.88,345.83,2.05,2,,
696,IDP183,1487.06,346.01,2.05,2,,
697,mmp119,1487.55,346.5,2.05,2,,
698,IDP592,1487.58,346.53,2.05,2,,
699,IDP383,1489.38,348.33,2.05,2,,
700,gpm221a,1489.46,348.41,2.05,2,,
701,AY109687,1490.05,349,2.05,2,,
702,gpm361,1491.45,350.4,2.05,2,,
703,gpm751,1491.46,350.4,2.05,2,,
704,gpm749,1491.52,350.46,2.05,2,,
705,AW681281,1493.46,352.4,2.05,2,,
706,ns1,1493.71,352.65,2.05,2,,
707,IDP4025,1493.91,352.85,2.05,2,,
708,csu1080b,1495.66,354.6,2.05,2,,
709,AY111877,1497.66,356.6,2.05,2,,
710,umc2110,1498.56,357.5,2.05,2,,
711,mmc0401,1499.66,358.6,2.05,2,,
712,umc2252,1500.16,359.1,2.05,2,,
713,gpm91,1502.26,361.2,2.05,2,,
714,npi297,1508.26,367.2,2.06,2,,
715,pbf1,1509.16,368.1,2.06,2,,
716,bnlg1831,1509.86,368.8,2.06,2,,
717,umc1079,1510.36,369.3,2.06,2,,
718,bnlg1036,1514.56,373.5,2.06,2,,
719,IDP825,1514.63,373.57,2.06,2,,
720,IDP2559,1515.13,374.07,2.06,2,,
721,umc1658,1516.36,375.3,2.06,2,,
722,gpm606a,1516.73,375.67,2.06,2,,
723,gpm695,1516.74,375.67,2.06,2,,
724,gpm117e,1517.32,376.25,2.06,2,,
725,gpm106c,1518.06,376.99,2.06,2,,
726,umc2178,1518.47,377.4,2.06,2,,
727,gpm769,1519.57,378.5,2.06,2,,q9
728,umc2254,1519.77,378.7,2.06,2,,q9
729,agp1,1519.97,378.9,2.06,2,,q9
730,gpm620a,1520.02,378.95,2.06,2,,q9
731,bnlg1138,1520.27,379.2,2.06,2,,q9
732,gpm329b,1520.66,379.59,2.06,2,q10,q9
733,umc1080,1521.07,380,2.06,2,q10,q9
734,AY109981,1521.87,380.8,2.06,2,q10,q9
735,umc1004,1522.87,381.8,2.06,2,q10,q9
736,gpm482,1523.24,382.17,2.06,2,q10,q9
737,sdg119,1525.77,384.7,2.06,2,q10,q9
738,IDP866,1528.42,387.35,2.06,2,q10,q9
739,IDP2141,1528.43,387.35,2.06,2,q10,q9
740,IDP3909,1528.71,387.63,2.06,2,q10,q9
